procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 638452     76 23763744    0    0    50  1828 22587   36  9  4 86  2  0  0
 1  1      0 381616     76 23771804    0    0    13   317 26204 32021 12  5 73 10  0  0
 1  1      0 851976     76 23736688    0    0     8   904 27598 31540 19  5 68  9  0  0
 2  1      0 681552     76 23745256    0    0     2   234 19278 25245  5  3 80 12  0  0
 0  1      0 610908     76 23751648    0    0     0   190 18650 24575  5  3 81 12  0  0
 1  0      0 500948     76 23761836    0    0     0  1670 21445 28294  7  3 87  3  0  0
 1  0      0 572512     76 23770724    0    0     2   749 18804 25222  5  3 92  0  0  0
 0  0      0 594324     76 23779832    0    0     0   802 19395 25980  5  3 92  0  0  0
 0  0      0 590456     76 23787684    0    0     0   645 22625 29995  6  3 91  0  0  0
 0  0      0 556056     76 23793880    0    0     0   791 27782 31239 22  5 73  0  0  0
 1  0      0 540140     76 23800348    0    0     0   544 19283 25888  5  3 92  0  0  0
 2  0      0 607680     76 23749552    0    0    36   805 20918 27886  6  3 91  0  0  0
 6  0      0 540452     76 23759124    0    0     0   765 30152 35346 23  6 71  0  0  0
 0  0      0 471928     76 23765996    0    0     0   602 26309 32057 14  4 81  0  0  0
 0  0      0 456224     76 23772924    0    0     1   710 20654 27584  6  3 91  0  0  0
 1  0      0 514616     76 23781376    0    0     0   692 19585 26362  5  3 92  0  0  0
 0  0      0 490804     76 23789868    0    0     0   744 19468 26138  5  3 92  0  0  0
 0  0      0 427432     76 23800024    0    0     0   850 20685 27653  6  3 91  0  0  0
 1  0      0 422048     76 23806032    0    0     1   558 18911 25421  5  3 92  0  0  0
 0  0      0 499076     76 23812456    0    0     0   782 20633 27539  6  3 91  0  0  0
