nohup: ignoring input
Linux 5.14.0-427.44.1.el9_4.x86_64 (bc488234cf69) 	11/22/24 	_x86_64_	(8 CPU)

22:33:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:33:34     all   11.74    0.00    3.50    0.12    0.75    1.12    0.00    0.00    0.00   82.77
22:33:35     all    8.88    0.00    4.19    0.00    0.76    0.76    0.00    0.00    0.00   85.41
22:33:36     all    7.16    0.00    2.14    0.25    0.75    0.75    0.00    0.00    0.00   88.94
22:33:37     all    6.43    0.00    2.14    0.13    0.50    0.76    0.00    0.00    0.00   90.04
22:33:38     all   18.94    0.00    3.03    0.25    1.01    0.76    0.00    0.00    0.00   76.01
22:33:39     all   10.98    0.00    2.65    0.13    0.51    0.88    0.00    0.00    0.00   84.85
22:33:40     all    6.54    0.00    2.39    0.00    0.75    0.50    0.00    0.00    0.00   89.81
22:33:41     all    6.67    0.00    4.53    0.13    0.75    0.75    0.00    0.00    0.00   87.17
22:33:42     all    5.82    0.00    3.29    0.13    0.25    0.25    0.00    0.00    0.00   90.27
22:33:43     all    6.23    0.00    2.24    0.25    0.75    0.75    0.12    0.00    0.00   89.65
22:33:44     all   10.04    0.00    2.63    0.00    0.50    0.75    0.13    0.00    0.00   85.95
22:33:45     all    8.21    0.00    3.16    0.13    0.63    0.88    0.00    0.00    0.00   86.99
22:33:46     all    4.28    0.00    1.51    0.13    0.50    0.25    0.00    0.00    0.00   93.32
22:33:47     all    6.53    0.00    2.89    0.25    0.50    0.88    0.00    0.00    0.00   88.94
22:33:48     all    8.82    0.00    3.90    0.13    1.01    0.76    0.00    0.00    0.00   85.39
22:33:49     all    6.39    0.00    2.88    0.13    0.63    0.75    0.00    0.00    0.00   89.22
22:33:50     all   19.90    0.00    2.39    0.00    0.50    0.76    0.00    0.00    0.00   76.45
22:33:51     all    8.66    0.00    3.76    0.13    0.88    0.50    0.00    0.00    0.00   86.07
22:33:52     all    6.42    0.00    3.14    0.25    0.50    0.63    0.00    0.00    0.00   89.06
22:33:53     all    6.66    0.00    2.76    0.13    0.50    0.63    0.00    0.00    0.00   89.32
22:33:54     all    6.80    0.00    2.39    0.13    0.76    1.01    0.00    0.00    0.00   88.92
22:33:55     all   10.33    0.00    3.90    0.13    0.63    0.63    0.00    0.00    0.00   84.38
22:33:56     all   10.89    0.00    2.63    0.13    0.88    1.00    0.00    0.00    0.00   84.48
22:33:57     all    9.32    0.00    3.15    0.00    0.88    0.63    0.00    0.00    0.00   86.02
22:33:58     all    5.03    0.00    2.64    0.00    0.50    0.50    0.00    0.00    0.00   91.33
22:33:59     all    7.28    0.00    2.38    0.25    0.63    0.75    0.00    0.00    0.00   88.71
